artifactId,path,version,sha256,status,fileClass,generatorVersion,generatedAt,codeCommit,inputArtifactSha
CONFIG__GATES_YAML,config/gates.yaml,1.0.0,963fe93fe6ae8ac04251bfc0112ba830eb3471518bfa6e52f7616d4a5d1d9b82,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONFIG__NCS_SCOPE_YAML,config/ncs_scope.yaml,1.0.0,1cbd6b06206059edc500d4361a1c7fc0f3d3082b64e430a2ae498133d6d901bd,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONFIG__PERIODS_YAML,config/periods.yaml,1.0.0,f84faf17ff14d41ed7ecc7e3e37bdec31b07d4d0235d12a5b277c3b4a7b717ef,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONFIG__PROJECT_YAML,config/project.yaml,1.0.0,7913d59b2c925fd796989fc9c62f60a9acf9631c8f71e647672d9fd2b04521db,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONFIG__QUERY_REGISTRY_YAML,config/query_registry.yaml,1.0.0,d99e554e993e274586884abef1098ac1369e50ce1501a7e5149a1bbc18748091,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONFIG__RUN_MODES_YAML,config/run_modes.yaml,1.0.0,13051f88a215f8eee056a2eae407461df16a2831d57b274fade157a8366dc773,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONFIG__SOURCE_POLICY_YAML,config/source_policy.yaml,1.0.0,dd8827ed5e6bfbffb911127f5de4945c231280d6e1d8750cc7efaed8625cee84,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONTRACTS__REGISTRY_YAML,contracts/registry.yaml,1.0.0,6de3058ee3c5d22e41dd01f759227a6a976839c2bb41918ddcf13c55631f6b5d,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONTRACTS__SCHEMAS__V4_EXTENSIONS__API_ENDPOINT_CONTRACT_SCHEMA_JSON,contracts/schemas/v4_extensions/api_endpoint_contract.schema.json,1.0.0,63c7daf20ccbc397234babf2b61e961c58103877d5bc472d7872891bd580bcd3,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
CONTRACTS__SCHEMAS__V4_EXTENSIONS__API_PROBE_RUN_SCHEMA_JSON,contracts/schemas/v4_extensions/api_probe_run.schema.json,1.0.0,3026c0a70d0a4c866a00634a71df566911fff409fbd588fd6ffa5a7d9a6d9bd5,ACTIVE,GENERATED_FILE,p4-docs-1.0.0,2026-08-09T15:38:01+09:00,ec678fc5dedc0234e7b36edca891d8183f018736,0fefd5fea824d6bc89d629c9ddc473740dc9814e0178e68aa6d99aa83c9e3a01
